Index,STATION,ENTRYCOUNT
61,34 ST-PENN STA,4073356.0
232,GRD CNTRL-42 ST,3564273.0
59,34 ST-HERALD SQ,3177042.0
46,23 ST,3066421.0
14,14 ST-UNION SQ,2721362.0
68,42 ST-PORT AUTH,2591526.0
349,TIMES SQ-42 ST,2552338.0
225,FULTON ST,2249652.0
109,86 ST,2210359.0
9,125 ST,2113970.0
84,59 ST,1924367.0
85,59 ST COLUMBUS,1899990.0
172,CANAL ST,1881716.0
114,96 ST,1703842.0
13,14 ST,1654537.0
179,CHAMBERS ST,1591681.0
216,FLUSHING-MAIN,1511605.0
72,47-50 STS ROCK,1394959.0
312,PATH NEW WTC,1280258.0
256,JKSN HT-ROOSVLT,1279171.0
78,50 ST,1252435.0
96,72 ST,1251007.0
52,28 ST,1241333.0
359,W 4 ST-WASH SQ,1138488.0
253,JAY ST-METROTEC,1111930.0
124,ATL AV-BARCLAY,1076127.0
362,WALL ST,1050338.0
67,42 ST-BRYANT PK,1020243.0
15,145 ST,998232.0
103,8 AV,996318.0
268,LEXINGTON AV/53,989106.0
251,JAMAICA CENTER,978327.0
94,7 AV,953506.0
182,CHURCH AV,953071.0
6,116 ST,910788.0
83,57 ST-7 AV,900432.0
155,BOROUGH HALL,890320.0
101,77 ST,842785.0
1,103 ST,806998.0
198,DEKALB AV,802405.0
229,GRAND ST,789627.0
195,CROWN HTS-UTICA,778540.0
21,161/YANKEE STAD,762573.0
148,BEDFORD AV,736016.0
57,33 ST,724513.0
219,FOREST HILLS 71,688605.0
199,DELANCEY/ESSEX,688063.0
97,72 ST-2 AVE,684777.0
369,WOODHAVEN BLVD,679248.0
73,49 ST,677671.0
259,KEW GARDENS,659072.0
257,JOURNAL SQUARE,651046.0
158,BOWLING GREEN,647678.0
260,KINGS HWY,634854.0
110,86 ST-2 AVE,622434.0
24,168 ST,622327.0
90,66 ST-LINCOLN,605769.0
345,SUTPHIN-ARCHER,605103.0
55,3 AV-149 ST,603747.0
217,FORDHAM RD,603347.0
92,68ST-HUNTER CO,602832.0
33,181 ST,592096.0
339,SPRING ST,589034.0
348,THIRTY THIRD ST,588235.0
305,NOSTRAND AV,575071.0
102,79 ST,573888.0
258,JUNCTION BLVD,563245.0
134,B'WAY-LAFAYETTE,550484.0
75,5 AV/53 ST,550294.0
250,JAMAICA 179 ST,548587.0
0,1 AV,541545.0
167,BROOKLYN BRIDGE,539441.0
10,135 ST,536145.0
269,LEXINGTON AV/63,531860.0
220,FRANKLIN AV,524168.0
287,MYRTLE-WYCKOFF,521456.0
79,51 ST,519115.0
2,103 ST-CORONA,519056.0
214,FLATBUSH AV-B.C,517931.0
136,BAY PKWY,516533.0
23,167 ST,507936.0
176,CATHEDRAL PKWY,501423.0
63,36 ST,500965.0
234,GROVE STREET,498151.0
191,CORTLANDT ST,487170.0
365,WHITEHALL S-FRY,481773.0
230,GRAND-NEWTOWN,480580.0
104,8 ST-NYU,464810.0
314,PAVONIA/NEWPORT,460102.0
261,KINGSBRIDGE RD,457034.0
38,2 AV,454524.0
163,BROADWAY,445285.0
5,111 ST,440771.0
87,61 ST WOODSIDE,440560.0
113,90 ST-ELMHURST,438764.0
76,5 AV/59 ST,434081.0
123,ASTORIA DITMARS,433941.0
115,96 ST-2 AVE,432636.0
183,CITY / BUS,430859.0
121,ASTOR PL,429210.0
354,UTICA AV,427976.0
154,BLEECKER ST,414189.0
309,PARKCHESTER,411452.0
26,170 ST,410656.0
296,NEWARK BM BW,409786.0
325,RECTOR ST,407812.0
107,82 ST-JACKSON H,405076.0
358,VERNON-JACKSON,402066.0
88,63 DR-REGO PARK,401025.0
151,BERGEN ST,400443.0
212,EXCHANGE PLACE,397689.0
371,WORLD TRADE CTR,393621.0
