Index,STATIONLINE,ENTRYCOUNT
312,GRD CNTRL-42 ST_4567S,3564273.0
90,34 ST-HERALD SQ_BDFMNQRW,3177042.0
103,42 ST-PORT AUTH_ACENQRS1237W,2239229.0
94,34 ST-PENN STA_ACE,1926165.0
25,14 ST-UNION SQ_LNQR456W,1894751.0
445,TIMES SQ-42 ST_1237ACENQRSW,1672859.0
289,FLUSHING-MAIN_7,1511605.0
122,59 ST COLUMBUS_ABCD1,1500836.0
302,FULTON ST_2345ACJZ,1435955.0
107,47-50 STS ROCK_BDFM,1394959.0
93,34 ST-PENN STA_123ACE,1336348.0
402,PATH NEW WTC_1,1280258.0
339,JKSN HT-ROOSVLT_EFMR7,1279171.0
235,CANAL ST_JNQRZ6W,1268621.0
157,86 ST_456,1142080.0
457,W 4 ST-WASH SQ_ABCDEFM,1138488.0
123,59 ST_456NQRW,1077034.0
139,72 ST_123,1035792.0
101,42 ST-BRYANT PK_BDFM7,1020243.0
335,JAY ST-METROTEC_ACF,1012791.0
165,96 ST_123,1002581.0
354,LEXINGTON AV/53_EM6,989106.0
333,JAMAICA CENTER_EJZ,978327.0
119,57 ST-7 AV_NQRW,900432.0
214,BOROUGH HALL_2345R,827408.0
24,14 ST-UNION SQ_456LNQRW,826611.0
92,34 ST-PENN STA_123,810843.0
265,CROWN HTS-UTICA_34,778540.0
19,125 ST_ACBD,767896.0
244,CHAMBERS ST_ACE23,760960.0
205,BEDFORD AV_L,736016.0
18,125 ST_456,735898.0
74,23 ST_FM,728007.0
89,33 ST_6,724513.0
72,23 ST_6,695252.0
293,FOREST HILLS 71_EFMR,688605.0
270,DELANCEY/ESSEX_FJMZ,688063.0
138,72 ST-2 AVE_Q,684777.0
144,77 ST_6,683182.0
108,49 ST_NQRW,677671.0
26,14 ST_123FLM,677263.0
303,FULTON ST_ACJZ2345,671240.0
342,KEW GARDENS_EF,659072.0
340,JOURNAL SQUARE_1,651046.0
218,BOWLING GREEN_45,647678.0
113,50 ST_1,639863.0
75,23 ST_NRW,639688.0
31,145 ST_ABCD,638208.0
73,23 ST_CE,635130.0
460,WALL ST_23,629222.0
308,GRAND ST_BD,623287.0
155,86 ST-2 AVE_Q,622434.0
148,8 AV_ACEL,620425.0
130,66 ST-LINCOLN_1,605769.0
440,SUTPHIN-ARCHER_EJZ,605103.0
85,3 AV-149 ST_25,603747.0
132,68ST-HUNTER CO_6,602832.0
443,THIRTY THIRD ST_1,588235.0
243,CHAMBERS ST_123,569129.0
341,JUNCTION BLVD_7,563245.0
177,ATL AV-BARCLAY_BDNQR2345,554114.0
82,28 ST_6,553355.0
469,WOODHAVEN BLVD_MR,552199.0
189,B'WAY-LAFAYETTE_BDFQ6,550484.0
110,5 AV/53 ST_EM,550294.0
332,JAMAICA 179 ST_F,548587.0
0,1 AV_L,541545.0
228,BROOKLYN BRIDGE_456JZ,539441.0
114,50 ST_CE,539266.0
444,TIMES SQ-42 ST_1237ACENQRS,532203.0
355,LEXINGTON AV/63_F,531860.0
176,ATL AV-BARCLAY_2345BDNQR,522013.0
375,MYRTLE-WYCKOFF_LM,521456.0
116,51 ST_6,519115.0
1,103 ST-CORONA_7,519056.0
286,FLATBUSH AV-B.C_25,517931.0
268,DEKALB AV_BDNQR,513623.0
27,14 ST_ACEL,513168.0
314,GROVE STREET_1,498151.0
343,KINGS HWY_BQ,492249.0
156,86 ST_1,492089.0
125,59 ST_NRW,490699.0
260,CORTLANDT ST_RNW,487170.0
464,WHITEHALL S-FRY_R1W,481773.0
310,GRAND-NEWTOWN_MR,480580.0
234,CANAL ST_ACE,472933.0
39,161/YANKEE STAD_BD4,470219.0
394,NOSTRAND AV_AC,469257.0
166,96 ST_6,467814.0
150,8 ST-NYU_NRW,464810.0
28,14 ST_FLM123,464106.0
404,PAVONIA/NEWPORT_1,460102.0
62,2 AV_F,454524.0
249,CHURCH AV_BQ,443794.0
127,61 ST WOODSIDE_7,440560.0
163,90 ST-ELMHURST_7,438764.0
111,5 AV/59 ST_NQRW,434081.0
175,ASTORIA DITMARS_NQW,433941.0
164,96 ST-2 AVE_Q,432636.0
251,CITY / BUS_1,430859.0
173,ASTOR PL_6,429210.0
451,UTICA AV_AC,427976.0
461,WALL ST_45,421116.0
13,116 ST_6,419688.0
146,79 ST_1,419201.0
17,125 ST_23,417568.0
213,BLEECKER ST_6DF,414189.0
399,PARKCHESTER_6,411452.0
384,NEWARK BM BW_1,409786.0
153,82 ST-JACKSON H_7,405076.0
456,VERNON-JACKSON_7,402066.0
